id,item_id,category_name,最大月銷量,最小月銷量,update_time
0,225620966,耳機喇叭,435,435,2018-04-11
1,13003544,耳機喇叭,393,393,2018-04-11
2,746974028,耳機喇叭,326,319,2018-04-11
3,15349092,耳機喇叭,227,227,2018-04-11
4,840333277,耳機喇叭,222,222,2018-04-11
5,526162583,耳機喇叭,199,198,2018-04-11
6,518148225,耳機喇叭,195,195,2018-04-11
7,888637403,耳機喇叭,186,155,2018-04-11
8,16679441,耳機喇叭,174,174,2018-04-11
9,5962349,耳機喇叭,165,165,2018-04-11
10,820229615,耳機喇叭,149,149,2018-04-11
11,117811570,耳機喇叭,137,134,2018-04-11
12,11225630,耳機喇叭,134,134,2018-04-11
13,814598820,耳機喇叭,133,125,2018-04-11
14,839803151,耳機喇叭,109,109,2018-04-11
15,639511947,耳機喇叭,108,108,2018-04-11
16,316589101,耳機喇叭,88,87,2018-04-11
17,946661884,耳機喇叭,78,78,2018-04-11
18,635522401,耳機喇叭,77,77,2018-04-11
19,861445273,耳機喇叭,64,64,2018-04-11
20,348590705,耳機喇叭,63,56,2018-04-11
21,12615731,耳機喇叭,61,58,2018-04-11
22,15682889,耳機喇叭,59,59,2018-04-11
23,1003421181,耳機喇叭,54,52,2018-04-11
24,770540300,耳機喇叭,54,54,2018-04-11
25,377381859,耳機喇叭,53,53,2018-04-11
26,863314682,耳機喇叭,49,49,2018-04-11
27,304410788,耳機喇叭,48,45,2018-04-11
28,465639834,耳機喇叭,44,41,2018-04-11
29,114137230,耳機喇叭,44,44,2018-04-11
30,210195399,耳機喇叭,44,39,2018-04-11
31,199524445,耳機喇叭,39,36,2018-04-11
32,927187106,耳機喇叭,36,30,2018-04-11
33,9150531,耳機喇叭,35,33,2018-04-11
34,371011139,耳機喇叭,34,34,2018-04-11
35,19785647,耳機喇叭,34,34,2018-04-11
36,790340873,耳機喇叭,31,30,2018-04-11
37,534743615,耳機喇叭,31,28,2018-04-11
38,465601515,耳機喇叭,31,20,2018-04-11
39,113709452,耳機喇叭,30,30,2018-04-11
40,557538607,耳機喇叭,29,28,2018-04-11
41,885167620,耳機喇叭,29,29,2018-04-11
42,13684514,耳機喇叭,28,23,2018-04-11
43,347621983,耳機喇叭,27,23,2018-04-11
44,225294210,耳機喇叭,27,27,2018-04-11
45,293404213,耳機喇叭,27,27,2018-04-11
