id,item_id,category_name,最大月銷量,最小月銷量,熱銷程度,update_time
0,225620966,耳機喇叭,435,435,超級熱銷,2018-04-17
1,13003544,耳機喇叭,393,393,超級熱銷,2018-04-17
2,746974028,耳機喇叭,326,319,超級熱銷,2018-04-17
3,15349092,耳機喇叭,227,227,超級熱銷,2018-04-17
4,840333277,耳機喇叭,222,222,超級熱銷,2018-04-17
5,526162583,耳機喇叭,199,198,超級熱銷,2018-04-17
6,518148225,耳機喇叭,195,195,超級熱銷,2018-04-17
7,888637403,耳機喇叭,186,155,超級熱銷,2018-04-17
8,16679441,耳機喇叭,174,174,超級熱銷,2018-04-17
9,5962349,耳機喇叭,165,165,超級熱銷,2018-04-17
10,820229615,耳機喇叭,149,149,超級熱銷,2018-04-17
11,117811570,耳機喇叭,137,134,超級熱銷,2018-04-17
12,11225630,耳機喇叭,134,134,超級熱銷,2018-04-17
13,814598820,耳機喇叭,133,125,超級熱銷,2018-04-17
14,839803151,耳機喇叭,109,109,超級熱銷,2018-04-17
15,639511947,耳機喇叭,108,108,超級熱銷,2018-04-17
16,316589101,耳機喇叭,88,87,熱銷,2018-04-17
17,946661884,耳機喇叭,78,78,熱銷,2018-04-17
18,635522401,耳機喇叭,77,77,熱銷,2018-04-17
19,861445273,耳機喇叭,64,64,熱銷,2018-04-17
20,348590705,耳機喇叭,63,56,熱銷,2018-04-17
21,12615731,耳機喇叭,61,58,熱銷,2018-04-17
22,15682889,耳機喇叭,59,59,熱銷,2018-04-17
23,1003421181,耳機喇叭,54,52,熱銷,2018-04-17
24,770540300,耳機喇叭,54,54,熱銷,2018-04-17
25,377381859,耳機喇叭,53,53,熱銷,2018-04-17
26,863314682,耳機喇叭,49,49,熱銷,2018-04-17
27,304410788,耳機喇叭,48,45,熱銷,2018-04-17
28,465639834,耳機喇叭,44,41,熱銷,2018-04-17
29,114137230,耳機喇叭,44,44,熱銷,2018-04-17
30,210195399,耳機喇叭,44,39,熱銷,2018-04-17
31,199524445,耳機喇叭,39,36,熱銷,2018-04-17
32,927187106,耳機喇叭,36,30,熱銷,2018-04-17
33,9150531,耳機喇叭,35,33,熱銷,2018-04-17
34,371011139,耳機喇叭,34,34,普通,2018-04-17
35,19785647,耳機喇叭,34,34,普通,2018-04-17
36,790340873,耳機喇叭,31,30,普通,2018-04-17
37,534743615,耳機喇叭,31,28,普通,2018-04-17
38,465601515,耳機喇叭,31,20,普通,2018-04-17
39,113709452,耳機喇叭,30,30,普通,2018-04-17
40,557538607,耳機喇叭,29,28,普通,2018-04-17
41,885167620,耳機喇叭,29,29,普通,2018-04-17
42,13684514,耳機喇叭,28,23,普通,2018-04-17
43,347621983,耳機喇叭,27,23,普通,2018-04-17
44,225294210,耳機喇叭,27,27,普通,2018-04-17
45,293404213,耳機喇叭,27,27,普通,2018-04-17
46,457572563,耳機喇叭,26,26,普通,2018-04-17
47,213929437,耳機喇叭,25,21,普通,2018-04-17
48,186321530,耳機喇叭,24,23,普通,2018-04-17
49,18269565,耳機喇叭,23,21,普通,2018-04-17
50,71898086,耳機喇叭,23,23,普通,2018-04-17
51,479227250,耳機喇叭,23,18,普通,2018-04-17
52,40700434,耳機喇叭,23,23,普通,2018-04-17
53,903151833,耳機喇叭,23,23,普通,2018-04-17
54,156993780,耳機喇叭,22,21,普通,2018-04-17
55,868667797,耳機喇叭,22,20,普通,2018-04-17
56,906135759,耳機喇叭,21,19,普通,2018-04-17
57,444887348,耳機喇叭,20,20,普通,2018-04-17
58,723169467,耳機喇叭,20,20,普通,2018-04-17
59,956128551,耳機喇叭,20,14,普通,2018-04-17
60,75535551,耳機喇叭,20,19,普通,2018-04-17
61,1009074942,耳機喇叭,19,19,普通,2018-04-17
62,60214920,耳機喇叭,19,19,普通,2018-04-17
63,394613658,耳機喇叭,19,19,普通,2018-04-17
64,995454087,耳機喇叭,19,19,普通,2018-04-17
65,938883175,耳機喇叭,18,18,普通,2018-04-17
66,610943238,耳機喇叭,17,17,滯銷,2018-04-17
67,490752465,耳機喇叭,17,16,滯銷,2018-04-17
68,44442319,耳機喇叭,17,17,滯銷,2018-04-17
69,587952849,耳機喇叭,16,16,滯銷,2018-04-17
70,389382402,耳機喇叭,16,16,滯銷,2018-04-17
71,416649561,耳機喇叭,16,16,滯銷,2018-04-17
72,886234211,耳機喇叭,16,16,滯銷,2018-04-17
73,277021489,耳機喇叭,15,13,滯銷,2018-04-17
74,435848723,耳機喇叭,15,15,滯銷,2018-04-17
75,124809202,耳機喇叭,15,15,滯銷,2018-04-17
76,875833284,耳機喇叭,14,12,滯銷,2018-04-17
77,203276237,耳機喇叭,14,13,滯銷,2018-04-17
78,201862263,耳機喇叭,14,14,滯銷,2018-04-17
79,190340956,耳機喇叭,13,13,滯銷,2018-04-17
80,687736737,耳機喇叭,13,13,滯銷,2018-04-17
81,839818218,耳機喇叭,13,13,滯銷,2018-04-17
82,34800478,耳機喇叭,13,12,滯銷,2018-04-17
83,126173374,耳機喇叭,12,12,滯銷,2018-04-17
84,697438856,耳機喇叭,12,11,滯銷,2018-04-17
85,474777707,耳機喇叭,12,11,滯銷,2018-04-17
86,234872773,耳機喇叭,12,12,滯銷,2018-04-17
87,1006426309,耳機喇叭,11,11,滯銷,2018-04-17
88,3909525,耳機喇叭,11,11,滯銷,2018-04-17
89,522145938,耳機喇叭,11,10,滯銷,2018-04-17
90,694020376,耳機喇叭,11,9,滯銷,2018-04-17
91,17069135,耳機喇叭,11,9,滯銷,2018-04-17
92,885332656,耳機喇叭,10,10,滯銷,2018-04-17
93,220760342,耳機喇叭,10,9,滯銷,2018-04-17
94,338685196,耳機喇叭,10,8,滯銷,2018-04-17
95,117480439,耳機喇叭,10,10,滯銷,2018-04-17
96,13642575,耳機喇叭,10,8,滯銷,2018-04-17
97,848143017,耳機喇叭,9,9,滯銷,2018-04-17
98,514208874,耳機喇叭,9,9,滯銷,2018-04-17
99,972847959,耳機喇叭,9,9,滯銷,2018-04-17
100,980414595,耳機喇叭,9,9,滯銷,2018-04-17
101,1533403,耳機喇叭,9,9,滯銷,2018-04-17
102,553436979,耳機喇叭,9,8,滯銷,2018-04-17
103,953138055,耳機喇叭,9,1,滯銷,2018-04-17
104,4416434,耳機喇叭,9,9,滯銷,2018-04-17
105,3371371,耳機喇叭,9,8,滯銷,2018-04-17
106,267767727,耳機喇叭,9,9,滯銷,2018-04-17
107,151552839,耳機喇叭,9,8,滯銷,2018-04-17
108,898493313,耳機喇叭,9,9,滯銷,2018-04-17
109,138827046,耳機喇叭,9,9,滯銷,2018-04-17
110,203188291,耳機喇叭,9,8,滯銷,2018-04-17
111,91619525,耳機喇叭,9,8,滯銷,2018-04-17
112,13762702,耳機喇叭,9,9,滯銷,2018-04-17
113,114138636,耳機喇叭,8,8,滯銷,2018-04-17
114,137219460,耳機喇叭,8,7,滯銷,2018-04-17
115,314481296,耳機喇叭,8,7,滯銷,2018-04-17
116,202992118,耳機喇叭,8,8,滯銷,2018-04-17
117,266433416,耳機喇叭,8,7,滯銷,2018-04-17
118,1025197391,耳機喇叭,8,8,滯銷,2018-04-17
119,801060897,耳機喇叭,8,8,滯銷,2018-04-17
120,170535325,耳機喇叭,8,6,滯銷,2018-04-17
121,114352143,耳機喇叭,8,2,滯銷,2018-04-17
122,15201976,耳機喇叭,8,7,滯銷,2018-04-17
123,621192830,耳機喇叭,8,7,滯銷,2018-04-17
124,287529413,耳機喇叭,7,7,滯銷,2018-04-17
125,487689700,耳機喇叭,7,7,滯銷,2018-04-17
126,922726196,耳機喇叭,7,7,滯銷,2018-04-17
127,137110653,耳機喇叭,7,7,滯銷,2018-04-17
128,111061589,耳機喇叭,7,6,滯銷,2018-04-17
129,29678731,耳機喇叭,7,7,滯銷,2018-04-17
130,61539627,耳機喇叭,7,7,滯銷,2018-04-17
131,67821928,耳機喇叭,7,6,滯銷,2018-04-17
132,256055101,耳機喇叭,7,6,滯銷,2018-04-17
133,889237119,耳機喇叭,7,7,滯銷,2018-04-17
134,316351542,耳機喇叭,7,6,滯銷,2018-04-17
135,457572696,耳機喇叭,7,7,滯銷,2018-04-17
136,185396942,耳機喇叭,7,7,滯銷,2018-04-17
137,846893185,耳機喇叭,7,7,滯銷,2018-04-17
138,142593847,耳機喇叭,7,7,滯銷,2018-04-17
139,905544182,耳機喇叭,7,6,滯銷,2018-04-17
140,316326643,耳機喇叭,7,7,滯銷,2018-04-17
141,197725652,耳機喇叭,6,4,滯銷,2018-04-17
142,765690670,耳機喇叭,6,6,滯銷,2018-04-17
143,233676048,耳機喇叭,6,6,滯銷,2018-04-17
144,19917454,耳機喇叭,6,6,滯銷,2018-04-17
145,258737979,耳機喇叭,6,6,滯銷,2018-04-17
146,973504951,耳機喇叭,6,6,滯銷,2018-04-17
147,308822345,耳機喇叭,6,6,滯銷,2018-04-17
148,174826576,耳機喇叭,6,6,滯銷,2018-04-17
149,389403132,耳機喇叭,6,5,滯銷,2018-04-17
150,170980128,耳機喇叭,6,6,滯銷,2018-04-17
151,822092047,耳機喇叭,6,6,滯銷,2018-04-17
152,209678133,耳機喇叭,6,5,滯銷,2018-04-17
153,971728340,耳機喇叭,6,6,滯銷,2018-04-17
154,191966950,耳機喇叭,6,5,滯銷,2018-04-17
155,883318843,耳機喇叭,5,5,滯銷,2018-04-17
156,901905809,耳機喇叭,5,5,滯銷,2018-04-17
157,193458221,耳機喇叭,5,5,滯銷,2018-04-17
158,1009720859,耳機喇叭,5,5,滯銷,2018-04-17
159,888076942,耳機喇叭,5,5,滯銷,2018-04-17
160,125365780,耳機喇叭,5,4,滯銷,2018-04-17
161,129109950,耳機喇叭,5,5,滯銷,2018-04-17
162,1018273037,耳機喇叭,5,5,滯銷,2018-04-17
163,350917351,耳機喇叭,5,4,滯銷,2018-04-17
164,751211322,耳機喇叭,5,4,滯銷,2018-04-17
165,41467810,耳機喇叭,5,3,滯銷,2018-04-17
166,969810302,耳機喇叭,5,5,滯銷,2018-04-17
167,961758443,耳機喇叭,5,5,滯銷,2018-04-17
168,433325763,耳機喇叭,5,5,滯銷,2018-04-17
169,157248308,耳機喇叭,5,5,滯銷,2018-04-17
170,659907856,耳機喇叭,5,4,滯銷,2018-04-17
171,93344348,耳機喇叭,5,5,滯銷,2018-04-17
172,223199077,耳機喇叭,5,5,滯銷,2018-04-17
173,951855408,耳機喇叭,5,4,滯銷,2018-04-17
174,877757179,耳機喇叭,5,5,滯銷,2018-04-17
175,539822221,耳機喇叭,5,5,滯銷,2018-04-17
176,76746619,耳機喇叭,5,5,滯銷,2018-04-17
177,28031017,耳機喇叭,5,5,滯銷,2018-04-17
178,55058800,耳機喇叭,5,5,滯銷,2018-04-17
179,150077527,耳機喇叭,5,5,滯銷,2018-04-17
180,316921558,耳機喇叭,5,3,滯銷,2018-04-17
181,722429042,耳機喇叭,5,5,滯銷,2018-04-17
182,171179009,耳機喇叭,5,4,滯銷,2018-04-17
183,321833431,耳機喇叭,5,5,滯銷,2018-04-17
184,125105253,耳機喇叭,5,5,滯銷,2018-04-17
185,16936944,耳機喇叭,5,5,滯銷,2018-04-17
186,80753848,耳機喇叭,4,3,滯銷,2018-04-17
187,194996046,耳機喇叭,4,4,滯銷,2018-04-17
188,876218582,耳機喇叭,4,4,滯銷,2018-04-17
189,107787811,耳機喇叭,4,4,滯銷,2018-04-17
190,319557487,耳機喇叭,4,4,滯銷,2018-04-17
191,388050407,耳機喇叭,4,4,滯銷,2018-04-17
192,14521804,耳機喇叭,4,3,滯銷,2018-04-17
193,117822354,耳機喇叭,4,3,滯銷,2018-04-17
194,175098623,耳機喇叭,4,4,滯銷,2018-04-17
195,765730700,耳機喇叭,4,4,滯銷,2018-04-17
196,92988274,耳機喇叭,4,4,滯銷,2018-04-17
197,55818642,耳機喇叭,4,4,滯銷,2018-04-17
198,391764992,耳機喇叭,4,4,滯銷,2018-04-17
199,236332687,耳機喇叭,4,4,滯銷,2018-04-17
200,722472914,耳機喇叭,4,4,滯銷,2018-04-17
201,804022752,耳機喇叭,4,4,滯銷,2018-04-17
202,376128586,耳機喇叭,4,4,滯銷,2018-04-17
203,659815201,耳機喇叭,4,3,滯銷,2018-04-17
204,47985376,耳機喇叭,4,4,滯銷,2018-04-17
205,115122617,耳機喇叭,4,4,滯銷,2018-04-17
206,906203046,耳機喇叭,4,4,滯銷,2018-04-17
207,883200329,耳機喇叭,4,4,滯銷,2018-04-17
208,503204122,耳機喇叭,4,3,滯銷,2018-04-17
209,699122502,耳機喇叭,4,4,滯銷,2018-04-17
210,856017333,耳機喇叭,4,4,滯銷,2018-04-17
211,168624431,耳機喇叭,4,4,滯銷,2018-04-17
212,135876263,耳機喇叭,4,4,滯銷,2018-04-17
213,877727794,耳機喇叭,3,3,滯銷,2018-04-17
214,200241357,耳機喇叭,3,2,滯銷,2018-04-17
215,238061699,耳機喇叭,3,2,滯銷,2018-04-17
216,955326979,耳機喇叭,3,3,滯銷,2018-04-17
217,614797114,耳機喇叭,3,3,滯銷,2018-04-17
218,991811552,耳機喇叭,3,3,滯銷,2018-04-17
219,957340486,耳機喇叭,3,3,滯銷,2018-04-17
220,809673972,耳機喇叭,3,3,滯銷,2018-04-17
221,165691330,耳機喇叭,3,3,滯銷,2018-04-17
222,176663104,耳機喇叭,3,3,滯銷,2018-04-17
