id,item_id,category_name,最大月銷量,最小月銷量,熱銷程度,update_time
0,225620966,耳機喇叭,435,435,超級熱銷,2018-05-14
1,13003544,耳機喇叭,393,393,超級熱銷,2018-05-14
2,746974028,耳機喇叭,326,319,超級熱銷,2018-05-14
3,15349092,耳機喇叭,227,227,超級熱銷,2018-05-14
4,840333277,耳機喇叭,222,222,超級熱銷,2018-05-14
5,526162583,耳機喇叭,199,198,超級熱銷,2018-05-14
6,518148225,耳機喇叭,195,195,超級熱銷,2018-05-14
7,888637403,耳機喇叭,186,155,超級熱銷,2018-05-14
8,16679441,耳機喇叭,174,174,超級熱銷,2018-05-14
9,5962349,耳機喇叭,165,165,超級熱銷,2018-05-14
10,820229615,耳機喇叭,149,149,超級熱銷,2018-05-14
11,117811570,耳機喇叭,137,134,超級熱銷,2018-05-14
12,11225630,耳機喇叭,134,134,超級熱銷,2018-05-14
13,814598820,耳機喇叭,133,125,超級熱銷,2018-05-14
14,839803151,耳機喇叭,109,109,超級熱銷,2018-05-14
15,639511947,耳機喇叭,108,108,超級熱銷,2018-05-14
16,316589101,耳機喇叭,88,87,超級熱銷,2018-05-14
17,946661884,耳機喇叭,78,78,超級熱銷,2018-05-14
18,635522401,耳機喇叭,77,77,超級熱銷,2018-05-14
19,861445273,耳機喇叭,64,64,超級熱銷,2018-05-14
20,348590705,耳機喇叭,63,56,超級熱銷,2018-05-14
21,12615731,耳機喇叭,61,58,超級熱銷,2018-05-14
22,15682889,耳機喇叭,59,59,超級熱銷,2018-05-14
23,1003421181,耳機喇叭,54,52,超級熱銷,2018-05-14
24,770540300,耳機喇叭,54,54,超級熱銷,2018-05-14
25,377381859,耳機喇叭,53,53,超級熱銷,2018-05-14
26,863314682,耳機喇叭,49,49,超級熱銷,2018-05-14
27,304410788,耳機喇叭,48,45,超級熱銷,2018-05-14
28,465639834,耳機喇叭,44,41,超級熱銷,2018-05-14
29,114137230,耳機喇叭,44,44,超級熱銷,2018-05-14
30,210195399,耳機喇叭,44,39,超級熱銷,2018-05-14
31,199524445,耳機喇叭,39,36,超級熱銷,2018-05-14
32,927187106,耳機喇叭,36,30,超級熱銷,2018-05-14
33,9150531,耳機喇叭,35,33,超級熱銷,2018-05-14
34,371011139,耳機喇叭,34,34,超級熱銷,2018-05-14
35,19785647,耳機喇叭,34,34,超級熱銷,2018-05-14
36,790340873,耳機喇叭,31,30,超級熱銷,2018-05-14
37,534743615,耳機喇叭,31,28,超級熱銷,2018-05-14
38,465601515,耳機喇叭,31,20,超級熱銷,2018-05-14
39,113709452,耳機喇叭,30,30,熱銷,2018-05-14
40,557538607,耳機喇叭,29,28,熱銷,2018-05-14
41,885167620,耳機喇叭,29,29,熱銷,2018-05-14
42,13684514,耳機喇叭,28,23,熱銷,2018-05-14
43,347621983,耳機喇叭,27,23,熱銷,2018-05-14
44,225294210,耳機喇叭,27,27,熱銷,2018-05-14
45,293404213,耳機喇叭,27,27,熱銷,2018-05-14
46,457572563,耳機喇叭,26,26,熱銷,2018-05-14
47,213929437,耳機喇叭,25,21,熱銷,2018-05-14
48,186321530,耳機喇叭,24,23,熱銷,2018-05-14
49,18269565,耳機喇叭,23,21,熱銷,2018-05-14
50,71898086,耳機喇叭,23,23,熱銷,2018-05-14
51,479227250,耳機喇叭,23,18,熱銷,2018-05-14
52,40700434,耳機喇叭,23,23,熱銷,2018-05-14
53,903151833,耳機喇叭,23,23,熱銷,2018-05-14
54,156993780,耳機喇叭,22,21,熱銷,2018-05-14
55,868667797,耳機喇叭,22,20,熱銷,2018-05-14
56,906135759,耳機喇叭,21,19,熱銷,2018-05-14
57,444887348,耳機喇叭,20,20,熱銷,2018-05-14
58,723169467,耳機喇叭,20,20,熱銷,2018-05-14
59,956128551,耳機喇叭,20,14,熱銷,2018-05-14
60,75535551,耳機喇叭,20,19,熱銷,2018-05-14
61,1009074942,耳機喇叭,19,19,熱銷,2018-05-14
62,60214920,耳機喇叭,19,19,熱銷,2018-05-14
63,394613658,耳機喇叭,19,19,熱銷,2018-05-14
64,995454087,耳機喇叭,19,19,熱銷,2018-05-14
65,938883175,耳機喇叭,18,18,熱銷,2018-05-14
66,610943238,耳機喇叭,17,17,熱銷,2018-05-14
67,490752465,耳機喇叭,17,16,熱銷,2018-05-14
68,44442319,耳機喇叭,17,17,熱銷,2018-05-14
69,587952849,耳機喇叭,16,16,熱銷,2018-05-14
70,389382402,耳機喇叭,16,16,熱銷,2018-05-14
71,416649561,耳機喇叭,16,16,熱銷,2018-05-14
72,886234211,耳機喇叭,16,16,熱銷,2018-05-14
73,277021489,耳機喇叭,15,13,熱銷,2018-05-14
74,435848723,耳機喇叭,15,15,熱銷,2018-05-14
75,124809202,耳機喇叭,15,15,熱銷,2018-05-14
76,875833284,耳機喇叭,14,12,普通,2018-05-14
77,203276237,耳機喇叭,14,13,普通,2018-05-14
78,201862263,耳機喇叭,14,14,普通,2018-05-14
79,190340956,耳機喇叭,13,13,普通,2018-05-14
80,687736737,耳機喇叭,13,13,普通,2018-05-14
81,839818218,耳機喇叭,13,13,普通,2018-05-14
82,34800478,耳機喇叭,13,12,普通,2018-05-14
83,126173374,耳機喇叭,12,12,普通,2018-05-14
84,697438856,耳機喇叭,12,11,普通,2018-05-14
85,474777707,耳機喇叭,12,11,普通,2018-05-14
86,234872773,耳機喇叭,12,12,普通,2018-05-14
87,1006426309,耳機喇叭,11,11,普通,2018-05-14
88,3909525,耳機喇叭,11,11,普通,2018-05-14
89,522145938,耳機喇叭,11,10,普通,2018-05-14
90,694020376,耳機喇叭,11,9,普通,2018-05-14
91,17069135,耳機喇叭,11,9,普通,2018-05-14
92,885332656,耳機喇叭,10,10,普通,2018-05-14
93,220760342,耳機喇叭,10,9,普通,2018-05-14
94,338685196,耳機喇叭,10,8,普通,2018-05-14
95,117480439,耳機喇叭,10,10,普通,2018-05-14
96,13642575,耳機喇叭,10,8,普通,2018-05-14
97,848143017,耳機喇叭,9,9,普通,2018-05-14
