rank,category,product_id,productName,price,sales,salesValue
1,Android保護殼,187108809,有影摔給你看OPPO冰晶盾4角增壓防摔R9R9SF1SA39保護殼送贈品E13,203,99,20097
2,Android保護殼,385708657,送鋼化膜USAMSOPPOR9sR9sPlusR11R11S矽膠防摔手機殼,99,199,19701
3,Android保護殼,26556512,實拍測試摔給你看冰晶盾ASUSZenfone4SelfieZE552KL手機殼D34U1,172,99,17028
4,Android保護殼,262969112,來圖就能客製化訂製客製手機殼蘋果三星OPPOHTC華碩SONYLGOPPO小米富可視美圖,99,169,16731
5,Android保護殼,387523295,送鋼化膜JOYROOMOPPOR9R9PR9sR9sPR11R11S磨砂手機殼保護殼,75,199,14925
6,Android保護殼,379551049,男士黑色手機殼HTCEYEE8E9E9M7M8M9M9M10K10530U11A37F1,71,160,11360
7,Android保護殼,215981653,LLM來圖客制化空壓殼軟殼oppoA77a35a39F1R9SPLUSR7r7plusR11手機殼,34,300,10200
8,Android保護殼,187208682,有影摔給你看ASUS冰晶盾4角防摔ZF35552送贈品ZE552KLZE520KL手機殼E13,79,99,7821
9,Android保護殼,385789645,卡娜赫拉點點各式手機殼OPPOR11sA77A57A39F1sR7R7SR9R9R11,38,179,6802
10,Android保護殼,385745444,卡娜赫拉P助支持各式手機殼iphone三星HTCASUSsonyLGOPPO小米華為Nokia,33,182,6006
