rank,category,product_id,productName,price,sales,salesValue
1,Android保護貼,240250149,SONY全膠9H鋼化玻璃滿版螢幕保護貼XperiaXZ1XZsXZPremiumXA1Ultra防碎屏防爆,252,199,50148
2,Android保護貼,237175439,OPPO全膠滿版鋼化玻璃貼玻璃保護貼R9PlusR9sPlusR11R11sF1sA57A77,536,79,42344
3,Android保護貼,279997345,SAMSUNG三星S7edgeS8PLUSNOTE83D曲面縮小版滿版鋼化玻璃貼玻璃保護貼,169,175,29575
4,Android保護貼,237150707,SAMSUNG三星NOTE4NOTE5S6S7J7Prime滿版鋼化玻璃貼玻璃保護貼,245,80,19600
5,Android保護貼,23932717,3D曲面不碎邊9H鋼化玻璃滿版軟邊手機保護貼R9R9PlusA57R9sPlusR9sR11s防碎屏防摔,157,99,15543
6,Android保護貼,202306362,全膠滿版薄荷綠ASUSZenfone34ZE520ZE552ZE554KL華碩全版鋼化玻璃保護貼,80,187,14960
7,Android保護貼,214253036,SAMSUNG三星J2J3J5J720162017PrimePro非滿版鋼化玻璃貼玻璃保護貼,425,35,14875
8,Android保護貼,212870881,紅米NOTE4Xnote4x9H硬度全覆蓋全屏滿版玻璃保護貼玻璃膜鋼化膜保護套空壓殼現貨,277,39,10803
9,Android保護貼,192078474,滿版全膠HTCUUltraU11U11全版鋼化玻璃保護貼防碎手機螢幕防爆玻璃貼有名好物推薦,111,97,10767
10,Android保護貼,202329390,SONYXXPXAULTRAXZXC熱彎3D滿版鋼化玻璃貼玻璃保護貼,68,145,9860
