rank,category,product_id,productName,price,sales,salesValue
1,Android充電傳輸,262207301,現貨3A5A高承載快閃充安卓MicroUSBTypeC銅線加粗通用接頭手機USB傳輸快速充電線閃充線,309,67,20703
2,Android充電傳輸,129378609,ZMI紫米小米USB雙口2口充電器HA622QC30快充閃充充電頭傳輸線行動電源蘋果,96,200,19200
3,Android充電傳輸,14957872,折疊式無線快充充電盤無線閃充快充充電板,13,999,12987
4,Android充電傳輸,262216527,現貨5ATypeC通用接頭華碩三星小米華為手機USB傳輸快速充電線QC30閃充線5V9V12V,85,147,12495
5,Android充電傳輸,2799732,原廠ONPRO雙USB旅充繽紛色系24A電源供應器充電器旅充頭原廠充電頭超急速快充一年保固,49,239,11711
6,Android充電傳輸,144292419,三星原廠充電線三星HTCSONY華為華碩安卓LG快充豆腐充電頭傳輸充電線耳機車充原廠線貓,198,49,9702
7,Android充電傳輸,275322103,免運糖果造型22公分超短充電線蘋果安卓適用蘋果線iphone線充電傳輸都可以,161,59,9499
8,Android充電傳輸,17355521,SONYUCH10UCH12UCB11原廠快充組QC20充電器傳輸線閃充XAXPZ5Z5P,114,70,7980
9,Android充電傳輸,10590898,GOLF金屬尼龍繩編織充電線安卓15米2米3米鋁合金21A快速充電線高速傳輸線快充線三星華碩,113,70,7910
10,Android充電傳輸,349507724,現貨OPPO原裝閃充充電器加購OPPO空壓殼保護貼OPPO充電線OPPO充電頭,105,69,7245
