rank,category,product_id,productName,price,sales,salesValue
1,Android空機,381035909,Mymi買米小米6陶瓷尊享版小米手機6臺灣官方公司貨現貨,7,12799,89593
2,Android空機,377715647,庫存福利品保固一年Samsungnote5金白黑現貨含運出清價7950,11,7950,87450
3,Android空機,187422495,現貨台灣公司貨小米MIX2MIX264G128G全新未拆封,5,16999,84995
4,Android空機,378024064,一加5t手機送手機殼鋼化膜正品OnePlus一加一加手機5t台灣全頻4G一加手機5t一加5A5010,5,16000,80000
5,Android空機,285017392,永和樂曄通訊SAMSUNGGalaxyJ2Prime金色限定15G8G全新5吋三星超低價手機,27,2799,75573
6,Android空機,181367479,Huawei華為nova2i189全面屏網美機全新1年保,7,7990,55930
7,Android空機,282216318,自拍美顏機再進化全新OPPOA77新品現貨,6,8400,50400
8,Android空機,262779503,SonyXperiaXA1G31253G32G八核心5吋智慧機,9,5350,48150
9,Android空機,379501999,全新含稅價6100三星samsungGalaxyJ7Prime四核55吋3G32G雙卡G610,8,6000,48000
10,Android空機,284634292,承志館全新品三星SAMSUNGGalaxyJ2Prime5吋雙卡雙待入門自拍手機G532,12,2830,33960
