rank,category,product_id,productName,price,sales,salesValue
1,Apple空機,104163869,空機AppleiPhone616G送鋼化膜空壓殼47吋4G上網整新機800萬畫素,15,7200,108000
2,Apple空機,201774263,免運費iPhone6splus64G送鋼化膜空壓殼另有16G128G福利機55吋1200萬畫素,4,11000,44000
3,Apple空機,350514265,免運費大特價I6s64gbI6sPlus64gb太空灰玫瑰金金大全配加送玻璃貼和空壓殼,3,13000,39000
4,Apple空機,143766558,現貨iPhone664G二手無傷盒裝功能正常iphone6s64GB土豪金無撞傷可分期另有其他機型,7,4999,34993
5,Apple空機,385979736,i6splus128g玫瑰金土豪金太空灰,2,15000,30000
6,Apple空機,285582739,指標通訊APPLEiPhone7Plus55吋128GB限時促銷,1,26800,26800
7,Apple空機,182275626,免運費iPhone6splus64G送鋼化膜空壓殼16G128G福利機55吋1200萬,2,11000,22000
8,Apple空機,179311083,原廠盒裝AppleiPhone647吋16G64G送行動電源空壓殼鋼化膜128G全新庫存機4G版,3,7200,21600
9,Apple空機,120411532,11月促銷全新未拆封蘋果Appleiphone7plusi7128G台灣公司貨原廠保固一年,1,19500,19500
10,Apple空機,389073094,只有一台i6plus64g銀色無傷,2,9500,19000
