rank,category,product_id,productName,price,sales,salesValue
1,iPhone保護殼,2330735,三代水晶盾iPhoneXiPhone8iPhone76si7i8Plus手機殼透明防摔空壓保護殼,1439,85,122315
2,iPhone保護殼,275472022,三代水晶盾iPhoneXiPhone8iPhone76si7i8Plus手機殼透明防摔空壓保護殼,1439,85,122315
3,iPhone保護殼,383128572,送線與膜i6i7i8行動電源手機殼iphone6iphone7iphone8充電手機殼保護殼,93,699,65007
4,iPhone保護殼,278097033,iPhoneX360度全包手機殼全包殼防摔全機包覆手機殼iPhone7iPhone86sPlus5sSE,479,109,52211
5,iPhone保護殼,385686923,送鋼化膜USAMSi6i7i8ix矽膠防摔手機殼iphone6iphone7iphone8,253,199,50347
6,iPhone保護殼,242456348,現貨免運翻玩supreme鏡面手機殼系列手機殼iphone6I6iphone7iphoneX手機殼,253,150,37950
7,iPhone保護殼,18168068,iPhone7iphone8i6i7i8plus掛繩防摔手機殼手機套軟殼硬殼保護套保護殼防摔殼空壓殼殼,323,113,36499
8,iPhone保護殼,14475174,iPhoneX軟硬結合防摔手機殼8Plus手機殼i6手機殼7Plus手機殼6s手機殼i7手機殼i8手機殼,340,99,33660
9,iPhone保護殼,159085578,現貨iPhone大理石手機殼亮面大理石大理石軟殼iphone66plus77plusx手機殼,277,99,27423
10,iPhone保護殼,144699879,IPhone6plus手機殼,45,500,22500
