rank,category,product_id,productName,price,sales,salesValue
1,iPhone保護貼,158220308,iPhoneX康寧4D滿版鋼化玻璃貼玻璃保護貼iPhone6iPhone7iPhone8Plusi6i7,1325,185,245125
2,iPhone保護貼,237275746,iPhoneX康寧4D滿版鋼化玻璃貼玻璃保護貼iPhone6iPhone7iPhone8Plusi6i7,1325,185,245125
3,iPhone保護貼,240073415,iPhone7plus滿版i8鋼化玻璃膜iX玻璃保護貼iPhone8iPhone7iPhone6si6plus,733,95,69635
4,iPhone保護貼,2330199,AGC玻璃貼iPhoneXiphone8i8iphone7玻璃貼iphone6i76sPlus保護貼,1115,45,50175
5,iPhone保護貼,101026654,iPhoneX87滿版全玻璃鋼化膜邊角不碎邊蘋果玻璃貼iPhone冷雕弧面滿版5D6si7PLUS,118,299,35282
6,iPhone保護貼,14454351,iPhoneX霧面全玻璃滿版螢幕保護膜6s玻璃貼7Plus玻璃貼8Plus玻璃貼i7玻璃貼,315,99,31185
7,iPhone保護貼,233910893,iPhoneX抗藍光不碎邊3D滿版鋼化玻璃貼玻璃保護貼iPhone6iPhone7iPhone8Plus,336,90,30240
8,iPhone保護貼,237261682,iPhoneX抗藍光不碎邊3D滿版鋼化玻璃貼玻璃保護貼iPhone6iPhone7iPhone8Plus,336,90,30240
9,iPhone保護貼,237242217,iPhone霧面滿版鋼化玻璃貼玻璃保護貼iPhone6iPhone6siPhone7iPhone8Plus,266,110,29260
10,iPhone保護貼,237254914,iPhoneX鋼化玻璃貼玻璃保護貼iPhone6iPhone7iPhone8Plus5sSEi6i7,604,45,27180
