rank,category,product_id,productName,price,sales,salesValue
1,iPhone充電傳輸,148807361,iPhone原廠線傳輸線充電線線Apple線iphone充電線數據線iPhone線Appleipad,2354,120,282480
2,iPhone充電傳輸,107664185,iPhone原廠線傳輸線充電線線Apple線iphone充電線數據線iPhone線Appleipad,2354,120,282480
3,iPhone充電傳輸,186018709,贈線套iPhoneX8766Splus5s5傳輸線iPad原廠現貨保固一年蘋果工坊,523,260,135980
4,iPhone充電傳輸,38809325,2米iPhone原廠線送1米副廠線2個i線套配件蘋果傳輸線充電線2公尺2M2mUsb正品,833,136,113288
5,iPhone充電傳輸,149360962,蘋果原廠豆腐頭配件5W1AAppleiPhone567iPadiPod充電器旅充充電頭,322,184,59248
6,iPhone充電傳輸,29047156,蘋果原廠豆腐頭配件5W1AAppleiPhone567iPadiPod充電器旅充充電頭,322,184,59248
7,iPhone充電傳輸,187964915,贈線套iPhone2MX876S6plus5S傳輸線兩米原廠完美支援蘋果工坊,135,420,56700
8,iPhone充電傳輸,382570051,快充提速40lighting數據線蘋果充電線appleI76S8PX智能斷電鋁合金編織快充充電線,253,205,51865
9,iPhone充電傳輸,11122636,Apple耳機i7轉接線lightning轉接可同時充電聽歌通話三合一音頻轉接器耳機轉接頭耳機轉接線,162,269,43578
10,iPhone充電傳輸,24214778,優惠趁現在iPhone充電線apple原廠充電線傳輸線豆腐頭iphone586x7plus,118,350,41300
