rank,category,product_id,productName,price,sales,salesValue
1,其他,190082681,高雷斯正品第四代升級版手機雙面可吸磁吸線急速快充安卓蘋果TYPEC磁性吸附手機傳輸充電線有名好物,1645,47,77315
2,其他,188616721,全新iPhone66plus6電池一年保固iPhone6附工具保證零循環蘋果工坊,105,550,57750
3,其他,185718731,AhaStyleAirpods保護套PodFit蘋果藍牙耳機保護套AppleU,180,290,52200
4,其他,290476768,現貨小米正品USB充電頭二孔2口4口支援QC30QC20快充快速充電器全新未拆封小米官網正品,185,245,45325
5,其他,185426084,美國原裝進口四件組萬能貼FLOURISHLAMAFIXATE萬用隨行貼隨手貼無痕貼百變貼魔術貼萬用貼,433,99,42867
6,其他,276492166,現貨倍思盒裝三角車載手機支架汽車用出風口車內通用型導航車架多功能單手操作手機車架有名好物推薦,205,199,40795
7,其他,349992781,AhaStyle品牌店PodFit20Airpods全新版本掛鉤保護套蘋果耳機周邊官方授權經銷專賣店,96,390,37440
8,其他,218326089,品質保證升级版入耳式耳機電腦蘋果手機iphone安卓手機平板通用耳塞式耳麥克風重低音魔音耳機,287,128,36736
9,其他,242173260,LQ041第二代補光廣角鏡頭036X15倍微距三段補補光三合一廣角自拍美肌Unicorn手機殼,97,270,26190
10,其他,213803888,今日免運費可調焦雷射筆超長射程303激光筆鐳射筆雷射筆滿天星指星筆點火柴教鞭單車戶外,62,399,24738
