rank,category,product_id,productName,price,sales,salesValue
1,其他廠牌手機,184802850,免運老人機折疊機雙螢幕父親節禮物MOBIA摩比亞M8003G掀蓋式孝親機字大鈴聲大內建手電筒,23,1500,34500
2,其他廠牌手機,20227913,艾爾巴數位全新MTOM139Line可用Linefb軍人機,8,1450,11600
3,其他廠牌手機,184227374,40Nokia2730有相機無相機3G4G卡可用全新庫存品軍人機老人機備用機科技業,60,100,6000
4,其他廠牌手機,278663338,全網通r9splus外型M3手機非iphone7三星紅米note4oppor9plus,2,1988,3976
5,其他廠牌手機,278676560,全網通r9splus外型M3手機非iphone7三星紅米note4oppor9plus,2,1988,3976
6,其他廠牌手機,241141446,全配GPlusGH7200雙卡雙待長輩有照相折疊式手機,3,1250,3750
7,其他廠牌手機,184231445,40Nokia5320音樂機支援34G全台最殺按鍵注音輸入大量現貨非207,17,200,3400
8,其他廠牌手機,286724277,BenQT25摺疊機老人機傳統手機按鍵式字大鈴聲大長輩機孝親機3G手機翻蓋,2,1650,3300
9,其他廠牌手機,202911099,UniscopeW108plus超長10天待機大液晶24吋亞太台灣之星可用軍人機科技,3,1099,3297
10,其他廠牌手機,189333434,24h出貨iNOCP39極簡風老人御用手機3G版,3,1080,3240
