rank,category,product_id,productName,price,sales,salesValue
1,手機周邊配件,185590349,台灣現貨小米支架式藍芽自拍桿2017最新版,284,420,119280
2,手機周邊配件,376666187,美麗姬粉白黑直播架自拍桿自拍棒手機架自拍架多功能自拍神器i6i7直播原廠保固兩個月,387,299,115713
3,手機周邊配件,186924165,免運LQ035F518三合一補光廣角035廣角微距廣角鏡頭自拍必備生日禮物補光燈518,218,299,65182
4,手機周邊配件,228834935,Q妹3C三色現貨A6補光自拍棒網美最愛補光自拍神器美顏補光自拍棒自拍桿補光燈補光自拍棒,213,265,56445
5,手機周邊配件,384605813,原廠現貨LIEQILQ03106X無變形廣角鏡頭夾式手機鏡頭自拍神器無暗圈無白點三星索尼適用,142,379,53818
6,手機周邊配件,104619547,全家免運免預購百諾MK10新款鏡面送配件追劇神器如假退費可折疊保證保固三個月,82,459,37638
7,手機周邊配件,288124695,官方正品現貨直播神器小米支架式自拍桿正品自拍棒藍芽自拍線控當天寄出,86,435,37410
8,手機周邊配件,288585689,號IPhone5螢幕IPhone5液晶螢幕維修I6液晶I6S液晶Iphone6plusI7維修,59,550,32450
9,手機周邊配件,101695031,免運現貨原廠正品LIEQILQ035LED補光燈補光廣角鏡自拍廣角鏡F515自拍神器廣角微距犀牛盾,78,299,23322
10,手機周邊配件,30161458,現貨秒發多功能三腳架直播腳架直播必備隨身型手機相機三腳架三角架伸縮腳架平板附手機夾收納袋,568,40,22720
