rank,category,product_id,productName,price,sales,salesValue
1,耳機喇叭,191966950,免運絕美單耳聆翔藍芽耳機小身材大功用現貨送耳機袋藍牙耳機單耳耳機單耳耳機藍芽藍牙,718,299,214682
2,耳機喇叭,288302333,免運絕美單耳聆翔藍芽耳機小身材大功用現貨送耳機袋藍牙耳機單耳耳機單耳耳機藍芽藍牙,718,299,214682
3,耳機喇叭,238362962,手機先生AirPodsiPhone無線藍牙耳機A1722全新未拆原廠正品現貨免等超取付款免運隨貨附發票,28,5250,147000
4,耳機喇叭,262681951,NCC合格中文語音雙耳X1T迷你小鋼砲真正無線雙耳藍芽耳機一對2顆聽音樂藍牙耳機安卓iphoneX通用,257,439,112823
5,耳機喇叭,287805789,台灣品牌現貨磁吸金屬藍牙運動耳機藍芽耳機IPX4防水防汗藍牙耳機運動藍芽耳機運動耳機運動藍牙耳機藍芽,280,389,108920
6,耳機喇叭,2873188,送手機臂套指環支架X2T迷你一對二藍芽耳機附充電座智能休眠藍芽42安卓ios,134,688,92192
7,耳機喇叭,2873188,送手機指環支架X2T迷你一對二藍芽耳機附充電座智能休眠藍芽耳機藍芽42安卓ios,126,688,86688
8,耳機喇叭,21807228,蘋果原廠耳機送收納盒i線套Tunes配件蘋果AppleEarpodsiPhone原廠線控耳機,195,281,54795
9,耳機喇叭,187913356,iPhoneX876S6plus線控麥克風EarPods耳機原廠全系列通用蘋果工坊,88,510,44880
10,耳機喇叭,218175003,X3磁吸運動無線耳機藍芽防滑牛角耳掛重低音耳塞式音樂耳機聖誕禮物,159,279,44361
