rank,category,product_id,productName,price,sales,salesValue
1,行動電源,100003669,現貨NICE完美行動電源10000mha貝仕達,1202,450,540900
2,行動電源,181975020,真正的快充技術雙向快充13000mAh雙USB液晶顯示防滑材質智能調節電流電壓完整保固行動電源ARZ,366,580,212280
3,行動電源,104120075,台灣製造今日下殺24000mAh行動電源時尚金屬質感大容量行動電源交換禮物AB006,176,640,112640
4,行動電源,188585232,見好舊收官方正品小米行動電源20000mah2C二代100002代超大電量QC30快速充電,236,449,105964
5,行動電源,210614704,台灣鴻普光電ONPRO認證12000mAh行動電源,148,699,103452
6,行動電源,182928271,iphone8plus無下巴背夾行動電源台灣製造i6si7無線充電背充背蓋i6i6s,121,349,42229
7,行動電源,238354205,限50組買一送三20000mah馬卡龍行動電源蘋果安卓三星OPPO充電器快充充電線iphone,853,49,41797
8,行動電源,188619827,見好舊收官方正品小米行動電源2代10000mAh銀黑雙色現貨供應雙向快充QC20快速充電,65,449,29185
9,行動電源,230612401,原廠正品Aukey原廠30000mah2000016000QC30行動電源PBT11PBT10,31,900,27900
10,行動電源,263261511,5030小米行動電源20000MAH官方正品充電寶超薄行動電源超大容量行動電源出國必備,77,359,27643
