rank,category,product_id,productName,price,sales,salesValue
1,電話、儲值卡,213064745,AIS亞洲1416國日本韓國新加坡馬來西亞菲律賓澳洲上網網卡網路電話無限吃到飽上網卡,416,330,137280
2,電話、儲值卡,160119315,大和無限卡7天4G吃到飽不降速即插即用免設定DOCOMO日本上網卡還可熱點分享20180331前使用,143,490,70070
3,電話、儲值卡,212495166,贈優惠券卡針盒可跨國日本上網韓國上網AIS亞洲16國上網卡香港澳門馬來西亞新加坡菲律賓8天吃到飽,177,335,59295
4,電話、儲值卡,12054650,2月期日本原裝日本DOCOMO4G八天上網吃到飽全日通日本上網非富士卡DB3CLIFE,158,360,56880
5,電話、儲值卡,187345247,2月期日本原裝日本DOCOMO4G八天上網吃到飽全日通日本上網非富士卡DB3CLIFE,158,360,56880
6,電話、儲值卡,278909334,中國香港澳門上網卡7日14日30天4G大陸免翻牆中港卡上網旅遊旅遊卡網路卡網路網卡,194,280,54320
7,電話、儲值卡,297879674,AIS亞洲14國日本上網韓國上網香港澳門新加坡馬來西亞澳洲菲律賓sim上網網路上網卡網路卡,154,330,50820
8,電話、儲值卡,238086974,限時特價現貨免設定歐洲9G上網上網卡網卡荷蘭德國捷克法國奧地利冰島英國sim卡,61,750,45750
9,電話、儲值卡,171608512,LG小林忠孝台哥大OK卡4G上網儲值卡30天上網吃到飽15GB後降速至5MB495元,90,495,44550
10,電話、儲值卡,188724773,日本上網卡8天10天20天30天吃到飽優惠價DOCOMO4G3G日本上網日本網卡日本sim卡,118,360,42480
