item_id,product_name,ship_name,ship_price
967027526,oppo_R9R9SF1SF1A57R11_個性手腕帶全包邊軟殼_可掛繩,7-11,60
967027526,oppo_R9R9SF1SF1A57R11_個性手腕帶全包邊軟殼_可掛繩,全家,60
967027526,oppo_R9R9SF1SF1A57R11_個性手腕帶全包邊軟殼_可掛繩,萊爾富,0
967027526,oppo_R9R9SF1SF1A57R11_個性手腕帶全包邊軟殼_可掛繩,中華郵政,40
996495406,Bone_雪寶防刮彈力吊繩__IPHONE安卓USB出遊必備耐用蘋果吊飾迪士尼冰雪奇緣SNO_WMAN,7-11,60
996495406,Bone_雪寶防刮彈力吊繩__IPHONE安卓USB出遊必備耐用蘋果吊飾迪士尼冰雪奇緣SNO_WMAN,全家,60
996495406,Bone_雪寶防刮彈力吊繩__IPHONE安卓USB出遊必備耐用蘋果吊飾迪士尼冰雪奇緣SNO_WMAN,萊爾富,60
996495406,Bone_雪寶防刮彈力吊繩__IPHONE安卓USB出遊必備耐用蘋果吊飾迪士尼冰雪奇緣SNO_WMAN,中華郵政,80
970658854,HM_獨角獸unicorn手機殼_iPhone_66s78,黑貓宅急便,90
970658854,HM_獨角獸unicorn手機殼_iPhone_66s78,7-11,30
970658854,HM_獨角獸unicorn手機殼_iPhone_66s78,全家,30
970658854,HM_獨角獸unicorn手機殼_iPhone_66s78,中華郵政,90
970658854,HM_獨角獸unicorn手機殼_iPhone_66s78,賣家宅配,120
1028053779,KWorld廣寰無線充電器便宜賣,黑貓宅急便,210
1028053779,KWorld廣寰無線充電器便宜賣,7-11,30
1028053779,KWorld廣寰無線充電器便宜賣,全家,30
1028053779,KWorld廣寰無線充電器便宜賣,萊爾富,30
851488531,敦富通訊iPhone_7_128G_47吋_全新未拆原廠公司貨,黑貓宅急便,210
1034032644,純色情侶潮女i66si77pi88p歐美_創意簡約_翻玩文藝浪漫愛心全包矽膠硬殼情侶防摔手機殼工藝永不褪色,圓通-黑貓宅配,55
1034032644,純色情侶潮女i66si77pi88p歐美_創意簡約_翻玩文藝浪漫愛心全包矽膠硬殼情侶防摔手機殼工藝永不褪色,圓通-711超取,55
1019571484,手機膜_HTC_Desire_10_life_鋼化膜25D透明防摔_9H防爆,圓通-黑貓宅配,55
1019571484,手機膜_HTC_Desire_10_life_鋼化膜25D透明防摔_9H防爆,圓通-711超取,55
639527120,全漢6000_9000mAh_超薄行動電源_通用型自帶線_官方正品大容量足安培抓寶可夢必備充電行電充神奇寶貝,黑貓宅急便,90
639527120,全漢6000_9000mAh_超薄行動電源_通用型自帶線_官方正品大容量足安培抓寶可夢必備充電行電充神奇寶貝,7-11,60
639527120,全漢6000_9000mAh_超薄行動電源_通用型自帶線_官方正品大容量足安培抓寶可夢必備充電行電充神奇寶貝,全家,60
639527120,全漢6000_9000mAh_超薄行動電源_通用型自帶線_官方正品大容量足安培抓寶可夢必備充電行電充神奇寶貝,萊爾富,60
639527120,全漢6000_9000mAh_超薄行動電源_通用型自帶線_官方正品大容量足安培抓寶可夢必備充電行電充神奇寶貝,賣家宅配,50
768501556,YOYO柑仔店KoLin_歌林_萬國_轉接插座4USB_快充_智慧分流_5A_KEXSHAU32,7-11,30
768501556,YOYO柑仔店KoLin_歌林_萬國_轉接插座4USB_快充_智慧分流_5A_KEXSHAU32,全家,30
768501556,YOYO柑仔店KoLin_歌林_萬國_轉接插座4USB_快充_智慧分流_5A_KEXSHAU32,萊爾富,0
768501556,YOYO柑仔店KoLin_歌林_萬國_轉接插座4USB_快充_智慧分流_5A_KEXSHAU32,中華郵政,100
1031235265,钱包款手機殼_蘋果iPhone_X_內置手机支架和3個卡槽啞光磨砂手機翻盖皮套,圓通-黑貓宅配,55
1031235265,钱包款手機殼_蘋果iPhone_X_內置手机支架和3個卡槽啞光磨砂手機翻盖皮套,圓通-711超取,55
885461736,廢的樂現貨不用等_XOOMZ_XFC107_無線充電盤_棉麻_無印良品風_日系設計_日式風格_無線快充_高速充電,7-11,30
885461736,廢的樂現貨不用等_XOOMZ_XFC107_無線充電盤_棉麻_無印良品風_日系設計_日式風格_無線快充_高速充電,全家,30
885461736,廢的樂現貨不用等_XOOMZ_XFC107_無線充電盤_棉麻_無印良品風_日系設計_日式風格_無線快充_高速充電,賣家宅配,0
885775155,現貨Blackberry_passport_黑莓護照機,7-11,30
885775155,現貨Blackberry_passport_黑莓護照機,全家,30
885775155,現貨Blackberry_passport_黑莓護照機,萊爾富,30
1019875960,訂單滿400發貨哦三星s7s7edgeC5C7c9pro手機殼保護套減肥文字不要生氣原創意,圓通-黑貓宅配,55
1019875960,訂單滿400發貨哦三星s7s7edgeC5C7c9pro手機殼保護套減肥文字不要生氣原創意,圓通-711超取,55
86424336,HTC_Desire_825_客製化彩繪空壓殼_圖樣多元_款式齊全_另有728_628_820_626,7-11,60
86424336,HTC_Desire_825_客製化彩繪空壓殼_圖樣多元_款式齊全_另有728_628_820_626,全家,60
86424336,HTC_Desire_825_客製化彩繪空壓殼_圖樣多元_款式齊全_另有728_628_820_626,中華郵政,50
803276073,SAMSUNG_原廠_快充充電組盒裝_Note_3Note_4Note_5_東訊公司貨,7-11,30
803276073,SAMSUNG_原廠_快充充電組盒裝_Note_3Note_4Note_5_東訊公司貨,全家,30
803276073,SAMSUNG_原廠_快充充電組盒裝_Note_3Note_4Note_5_東訊公司貨,萊爾富,0
803276073,SAMSUNG_原廠_快充充電組盒裝_Note_3Note_4Note_5_東訊公司貨,中華郵政,80
803276073,SAMSUNG_原廠_快充充電組盒裝_Note_3Note_4Note_5_東訊公司貨,賣家宅配,100
991643355,A8_2018版_全新未使用_台中可店取,7-11,30
991643355,A8_2018版_全新未使用_台中可店取,全家,30
972650290,Soul_era_10000毫安行動電源,7-11,30
972650290,Soul_era_10000毫安行動電源,全家,30
972650290,Soul_era_10000毫安行動電源,中華郵政,60
916156472,iPhone_7_耳機保證原廠,7-11,30
916156472,iPhone_7_耳機保證原廠,全家,30
916156472,iPhone_7_耳機保證原廠,萊爾富,30
